Item,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Sorghum,16571,89.0,1828.92,17.48
Wheat,6315,89.0,1828.92,17.48
Maize,19231,89.0,2461.8,16.26
Potatoes,90747,89.0,2461.8,16.26
"Rice, paddy",26786,89.0,2461.8,16.26
Sorghum,24231,89.0,2461.8,16.26
Wheat,10809,89.0,2461.8,16.26
Maize,22828,89.0,1215.47,16.27
Potatoes,107917,89.0,1215.47,16.27
"Rice, paddy",24733,89.0,1215.47,16.27
Sorghum,40000,89.0,1215.47,16.27
Wheat,9939,89.0,1215.47,16.27
Maize,12500,89.0,1021.89,17.0
Potatoes,111215,89.0,1021.89,17.0
"Rice, paddy",23111,89.0,1021.89,17.0
Sorghum,50000,89.0,1021.89,17.0
Wheat,8097,89.0,1021.89,17.0
Maize,4512,89.0,1255.02,17.88
Potatoes,95078,89.0,1255.02,17.88
"Rice, paddy",21374,89.0,1255.02,17.88
Wheat,7999,89.0,1255.02,17.88
Maize,16115,89.0,2697.09,17.36
Potatoes,136768,89.0,2697.09,17.36
"Rice, paddy",19598,89.0,2697.09,17.36
Sorghum,12667,89.0,2697.09,17.36
Wheat,8924,89.0,2697.09,17.36
Maize,17154,89.0,479.77,16.76
Potatoes,134629,89.0,479.77,16.76
"Rice, paddy",17861,89.0,479.77,16.76
Sorghum,14750,89.0,479.77,16.76
Wheat,13090,89.0,479.77,16.76
Maize,21417,89.0,401.22,17.84
Potatoes,141042,89.0,401.22,17.84
"Rice, paddy",15000,89.0,401.22,17.84
Sorghum,40000,89.0,401.22,17.84
Wheat,8016,89.0,401.22,17.84
Maize,17222,89.0,322.84,17.14
Potatoes,160256,89.0,322.84,17.14
"Rice, paddy",15000,89.0,322.84,17.14
Sorghum,24500,89.0,322.84,17.14
Wheat,8847,89.0,322.84,17.14
Maize,22375,89.0,654.45,17.97
Potatoes,153532,89.0,654.45,17.97
"Rice, paddy",13942,89.0,654.45,17.97
Sorghum,27000,89.0,654.45,17.97
Wheat,10711,89.0,654.45,17.97
Maize,36186,89.0,603.67,17.9
Potatoes,166143,89.0,603.67,17.9
"Rice, paddy",13052,89.0,603.67,17.9
Sorghum,69500,89.0,603.67,17.9
Wheat,9194,89.0,603.67,17.9
Maize,27175,89.0,710.11,18.13
Potatoes,147018,89.0,710.11,18.13
"Rice, paddy",12314,89.0,710.11,18.13
Sorghum,27750,89.0,710.11,18.13
Wheat,11104,89.0,710.11,18.13
Maize,33480,89.0,816.55,17.85
Potatoes,183774,89.0,816.55,17.85
"Rice, paddy",12959,89.0,816.55,17.85
Sorghum,33900,89.0,816.55,17.85
Wheat,10739,89.0,816.55,17.85
Maize,31729,89.0,3747.86,17.38
Potatoes,203585,89.0,3747.86,17.38
"Rice, paddy",12829,89.0,3747.86,17.38
Sorghum,43316,89.0,3747.86,17.38
Wheat,13582,89.0,3747.86,17.38
Maize,33864,89.0,3662.87,17.19
Potatoes,216267,89.0,3662.87,17.19
"Rice, paddy",12998,89.0,3662.87,17.19
Sorghum,33486,89.0,3662.87,17.19
Wheat,15057,89.0,3662.87,17.19
Maize,65668,89.0,4110.72,18.13
Potatoes,220689,89.0,4110.72,18.13
"Rice, paddy",12769,89.0,4110.72,18.13
Sorghum,56728,89.0,4110.72,18.13
Wheat,15068,89.0,4110.72,18.13
Maize,85625,89.0,5390.79,17.42
Potatoes,189927,89.0,5390.79,17.42
"Rice, paddy",13375,89.0,5390.79,17.42
Sorghum,119059,89.0,5390.79,17.42
Wheat,12742,89.0,5390.79,17.42
Maize,44714,89.0,11556.12,17.55
Potatoes,236393,89.0,11556.12,17.55
"Rice, paddy",13952,89.0,11556.12,17.55
Sorghum,61786,89.0,11556.12,17.55
Wheat,11038,89.0,11556.12,17.55
Maize,30914,89.0,3867.99,17.78
Potatoes,250764,89.0,3867.99,17.78
"Rice, paddy",14594,89.0,3867.99,17.78
Sorghum,90465,89.0,3867.99,17.78
Wheat,15975,89.0,3867.99,17.78
Maize,25827,89.0,1295.88,17.59
Potatoes,270526,89.0,1295.88,17.59
"Rice, paddy",15305,89.0,1295.88,17.59
Sorghum,30286,89.0,1295.88,17.59
Wheat,14838,89.0,1295.88,17.59
Maize,23374,89.0,13861.76,17.79
Potatoes,292806,89.0,13861.76,17.79
"Rice, paddy",16081,89.0,13861.76,17.79
Sorghum,100000,89.0,13861.76,17.79
Wheat,17405,89.0,13861.76,17.79
Maize,25583,89.0,17379.76,17.91
Potatoes,304291,89.0,17379.76,17.91
"Rice, paddy",16667,89.0,17379.76,17.91
Sorghum,206000,89.0,17379.76,17.91
Wheat,17639,89.0,17379.76,17.91
Maize,33649,89.0,17278.65,17.65
Potatoes,303218,89.0,17278.65,17.65
"Rice, paddy",17778,89.0,17278.65,17.65
Sorghum,60000,89.0,17278.65,17.65
Wheat,19100,89.0,17278.65,17.65
Cassava,41177,1010.0,64.0,24.12
Maize,2736,1010.0,64.0,24.12
Potatoes,40000,1010.0,64.0,24.12
"Rice, paddy",9512,1010.0,64.0,24.12
Sweet potatoes,89342,1010.0,64.0,24.12
Wheat,7995,1010.0,64.0,24.12
Cassava,40295,1010.0,79.0,24.02
Maize,4013,1010.0,79.0,24.02
Potatoes,40000,1010.0,79.0,24.02
"Rice, paddy",10000,1010.0,79.0,24.02
Sweet potatoes,83001,1010.0,79.0,24.02
Wheat,8000,1010.0,79.0,24.02
Cassava,42295,1010.0,23.0,23.96
Maize,3778,1010.0,23.0,23.96
Potatoes,40000,1010.0,23.0,23.96
"Rice, paddy",9106,1010.0,23.0,23.96
Sweet potatoes,90000,1010.0,23.0,23.96
Wheat,8000,1010.0,23.0,23.96
Cassava,42295,1010.0,169.0,24.15
Maize,2627,1010.0,169.0,24.15
Potatoes,70000,1010.0,169.0,24.15
"Rice, paddy",8000,1010.0,169.0,24.15
Sweet potatoes,88095,1010.0,169.0,24.15
Wheat,8876,1010.0,169.0,24.15
Cassava,58596,1010.0,25.5,24.04
Maize,2463,1010.0,25.5,24.04
Potatoes,90000,1010.0,25.5,24.04
"Rice, paddy",8750,1010.0,25.5,24.04
Sweet potatoes,83192,1010.0,25.5,24.04
Wheat,10000,1010.0,25.5,24.04
Cassava,51000,1010.0,336.0,24.56
Maize,3517,1010.0,336.0,24.56
Potatoes,76738,1010.0,336.0,24.56
"Rice, paddy",14615,1010.0,336.0,24.56
Sweet potatoes,81138,1010.0,336.0,24.56
Wheat,11855,1010.0,336.0,24.56
Cassava,48077,1010.0,40.0,24.11
Maize,6993,1010.0,40.0,24.11
Potatoes,70000,1010.0,40.0,24.11
"Rice, paddy",17500,1010.0,40.0,24.11
Sweet potatoes,85455,1010.0,40.0,24.11
Wheat,13738,1010.0,40.0,24.11
Cassava,44205,1010.0,40.0,24.06
Maize,5959,1010.0,40.0,24.06
Potatoes,68571,1010.0,40.0,24.06
"Rice, paddy",20000,1010.0,40.0,24.06
Sweet potatoes,78098,1010.0,40.0,24.06
Wheat,15509,1010.0,40.0,24.06
Cassava,55728,1010.0,40.0,24.96
Maize,7396,1010.0,40.0,24.96
Potatoes,62724,1010.0,40.0,24.96
"Rice, paddy",20000,1010.0,40.0,24.96
Sweet potatoes,76256,1010.0,40.0,24.96
Wheat,17143,1010.0,40.0,24.96
Cassava,59821,1010.0,40.0,24.37
Maize,6361,1010.0,40.0,24.37
Potatoes,54597,1010.0,40.0,24.37
"Rice, paddy",14235,1010.0,40.0,24.37
Sweet potatoes,82865,1010.0,40.0,24.37
Wheat,17391,1010.0,40.0,24.37
Cassava,82992,1010.0,40.0,24.41
Maize,5745,1010.0,40.0,24.41
Potatoes,29885,1010.0,40.0,24.41
"Rice, paddy",13454,1010.0,40.0,24.41
Sorghum,3333,1010.0,40.0,24.41
Soybeans,2333,1010.0,40.0,24.41
Sweet potatoes,34938,1010.0,40.0,24.41
Wheat,17023,1010.0,40.0,24.41
Cassava,94072,1010.0,40.0,24.43
Maize,5754,1010.0,40.0,24.43
Potatoes,42552,1010.0,40.0,24.43
"Rice, paddy",13701,1010.0,40.0,24.43
Sorghum,3571,1010.0,40.0,24.43
Soybeans,2500,1010.0,40.0,24.43
Sweet potatoes,44458,1010.0,40.0,24.43
Wheat,16667,1010.0,40.0,24.43
Cassava,110071,1010.0,40.0,24.79
Maize,6706,1010.0,40.0,24.79
Potatoes,42754,1010.0,40.0,24.79
"Rice, paddy",13198,1010.0,40.0,24.79
Sorghum,3400,1010.0,40.0,24.79
Soybeans,2857,1010.0,40.0,24.79
Sweet potatoes,42190,1010.0,40.0,24.79
Wheat,15455,1010.0,40.0,24.79
Cassava,125605,1010.0,40.0,24.22
Maize,5404,1010.0,40.0,24.22
Potatoes,20150,1010.0,40.0,24.22
"Rice, paddy",11584,1010.0,40.0,24.22
Sorghum,3333,1010.0,40.0,24.22
Soybeans,3600,1010.0,40.0,24.22
Sweet potatoes,45360,1010.0,40.0,24.22
Wheat,12442,1010.0,40.0,24.22
Cassava,117628,1010.0,40.0,24.41
Maize,6736,1010.0,40.0,24.41
Potatoes,23646,1010.0,40.0,24.41
"Rice, paddy",6977,1010.0,40.0,24.41
Sorghum,3333,1010.0,40.0,24.41
Soybeans,3793,1010.0,40.0,24.41
Sweet potatoes,46159,1010.0,40.0,24.41
Wheat,10946,1010.0,40.0,24.41
Cassava,117201,1010.0,40.0,24.14
Maize,4687,1010.0,40.0,24.14
Potatoes,52148,1010.0,40.0,24.14
"Rice, paddy",4947,1010.0,40.0,24.14
Sorghum,4091,1010.0,40.0,24.14
Soybeans,4286,1010.0,40.0,24.14
Sweet potatoes,44240,1010.0,40.0,24.14
Wheat,10000,1010.0,40.0,24.14
Cassava,115387,1010.0,40.0,24.24
Maize,5091,1010.0,40.0,24.24
Potatoes,62138,1010.0,40.0,24.24
"Rice, paddy",5143,1010.0,40.0,24.24
Sorghum,4031,1010.0,40.0,24.24
Soybeans,6883,1010.0,40.0,24.24
Sweet potatoes,58855,1010.0,40.0,24.24
Wheat,10000,1010.0,40.0,24.24
Cassava,148084,1010.0,40.0,24.27
Maize,7946,1010.0,40.0,24.27
Potatoes,85085,1010.0,40.0,24.27
"Rice, paddy",5084,1010.0,40.0,24.27
Sorghum,929,1010.0,40.0,24.27
Soybeans,8575,1010.0,40.0,24.27
Sweet potatoes,65437,1010.0,40.0,24.27
Wheat,10000,1010.0,40.0,24.27
Cassava,151759,1010.0,40.0,24.33
Maize,6614,1010.0,40.0,24.33
Potatoes,86509,1010.0,40.0,24.33
"Rice, paddy",6028,1010.0,40.0,24.33
Sorghum,2480,1010.0,40.0,24.33
Soybeans,4449,1010.0,40.0,24.33
Sweet potatoes,66475,1010.0,40.0,24.33
Wheat,10000,1010.0,40.0,24.33
Cassava,155782,1010.0,40.0,24.44
Maize,7200,1010.0,40.0,24.44
Potatoes,87425,1010.0,40.0,24.44
"Rice, paddy",7403,1010.0,40.0,24.44
Sorghum,2814,1010.0,40.0,24.44
Soybeans,4446,1010.0,40.0,24.44
Sweet potatoes,63001,1010.0,40.0,24.44
Wheat,10526,1010.0,40.0,24.44
Cassava,133649,1010.0,40.0,24.15
Maize,7376,1010.0,40.0,24.15
Potatoes,81366,1010.0,40.0,24.15
"Rice, paddy",8914,1010.0,40.0,24.15
Sorghum,3320,1010.0,40.0,24.15
Soybeans,5294,1010.0,40.0,24.15
Sweet potatoes,65512,1010.0,40.0,24.15
Wheat,10959,1010.0,40.0,24.15
Cassava,100073,1010.0,40.0,24.24
Maize,7770,1010.0,40.0,24.24
Potatoes,69381,1010.0,40.0,24.24
"Rice, paddy",7703,1010.0,40.0,24.24
Sorghum,998,1010.0,40.0,24.24
Soybeans,1641,1010.0,40.0,24.24
Sweet potatoes,52954,1010.0,40.0,24.24
Wheat,11258,1010.0,40.0,24.24
Cassava,140517,1010.0,40.0,24.55
Maize,9467,1010.0,40.0,24.55
Potatoes,63303,1010.0,40.0,24.55
"Rice, paddy",12744,1010.0,40.0,24.55
Sorghum,2415,1010.0,40.0,24.55
Soybeans,4405,1010.0,40.0,24.55
Sweet potatoes,73409,1010.0,40.0,24.55
Wheat,9022,1010.0,40.0,24.55
Cassava,100000,591.0,26156.0,17.46
Cassava,100000,591.0,26156.0,17.67
Maize,34608,591.0,26156.0,17.46
Maize,34608,591.0,26156.0,17.67
Potatoes,202747,591.0,26156.0,17.46
Potatoes,202747,591.0,26156.0,17.67
"Rice, paddy",36709,591.0,26156.0,17.46
"Rice, paddy",36709,591.0,26156.0,17.67
Sorghum,28116,591.0,26156.0,17.46
Sorghum,28116,591.0,26156.0,17.67
Soybeans,21566,591.0,26156.0,17.46
Soybeans,21566,591.0,26156.0,17.67
Sweet potatoes,131864,591.0,26156.0,17.46
Sweet potatoes,131864,591.0,26156.0,17.67
Wheat,18947,591.0,26156.0,17.46
Wheat,18947,591.0,26156.0,17.67
Cassava,100000,591.0,26156.0,17.64
Cassava,100000,591.0,26156.0,17.86
Maize,40444,591.0,26156.0,17.64
Maize,40444,591.0,26156.0,17.86
Potatoes,205692,591.0,26156.0,17.64
Potatoes,205692,591.0,26156.0,17.86
"Rice, paddy",40294,591.0,26156.0,17.64
"Rice, paddy",40294,591.0,26156.0,17.86
Sorghum,33320,591.0,26156.0,17.64
Sorghum,33320,591.0,26156.0,17.86
Soybeans,22750,591.0,26156.0,17.64
Soybeans,22750,591.0,26156.0,17.86
Sweet potatoes,131364,591.0,26156.0,17.64
Sweet potatoes,131364,591.0,26156.0,17.86
Wheat,18972,591.0,26156.0,17.64
Wheat,18972,591.0,26156.0,17.86
Cassava,100000,591.0,26156.0,17.09
Cassava,100000,591.0,26156.0,17.51
Maize,45237,591.0,26156.0,17.09
Maize,45237,591.0,26156.0,17.51
Potatoes,199039,591.0,26156.0,17.09
Potatoes,199039,591.0,26156.0,17.51
"Rice, paddy",52075,591.0,26156.0,17.09
"Rice, paddy",52075,591.0,26156.0,17.51
Sorghum,36217,591.0,26156.0,17.09
Sorghum,36217,591.0,26156.0,17.51
Soybeans,22915,591.0,26156.0,17.09
Soybeans,22915,591.0,26156.0,17.51
Sweet potatoes,127273,591.0,26156.0,17.09
Sweet potatoes,127273,591.0,26156.0,17.51
Wheat,21809,591.0,26156.0,17.09
Wheat,21809,591.0,26156.0,17.51
Cassava,100000,591.0,26156.0,17.32
Cassava,100000,591.0,26156.0,17.53
Maize,43552,591.0,26156.0,17.32
Maize,43552,591.0,26156.0,17.53
Potatoes,210314,591.0,26156.0,17.32
Potatoes,210314,591.0,26156.0,17.53
"Rice, paddy",43559,591.0,26156.0,17.32
"Rice, paddy",43559,591.0,26156.0,17.53
Sorghum,39529,591.0,26156.0,17.32
Sorghum,39529,591.0,26156.0,17.53
Soybeans,21589,591.0,26156.0,17.32
Soybeans,21589,591.0,26156.0,17.53
Sweet potatoes,122955,591.0,26156.0,17.32
Sweet potatoes,122955,591.0,26156.0,17.53
Wheat,23272,591.0,26156.0,17.32
Wheat,23272,591.0,26156.0,17.53
Cassava,100000,591.0,30195.0,18.17
Cassava,100000,591.0,30195.0,18.31
Maize,42371,591.0,30195.0,18.17
Maize,42371,591.0,30195.0,18.31
Potatoes,230166,591.0,30195.0,18.17
Potatoes,230166,591.0,30195.0,18.31
"Rice, paddy",42989,591.0,30195.0,18.17
"Rice, paddy",42989,591.0,30195.0,18.31
Sorghum,35065,591.0,30195.0,18.17
Sorghum,35065,591.0,30195.0,18.31
Soybeans,20386,591.0,30195.0,18.17
Soybeans,20386,591.0,30195.0,18.31
Sweet potatoes,176667,591.0,30195.0,18.17
Sweet potatoes,176667,591.0,30195.0,18.31
Wheat,20237,591.0,30195.0,18.17
Wheat,20237,591.0,30195.0,18.31
Cassava,100000,591.0,37842.0,17.74
Cassava,100000,591.0,37842.0,17.62
Maize,45223,591.0,37842.0,17.74
Maize,45223,591.0,37842.0,17.62
Potatoes,274272,591.0,37842.0,17.74
Potatoes,274272,591.0,37842.0,17.62
"Rice, paddy",50306,591.0,37842.0,17.74
"Rice, paddy",50306,591.0,37842.0,17.62
Sorghum,34588,591.0,37842.0,17.74
Sorghum,34588,591.0,37842.0,17.62
Soybeans,20446,591.0,37842.0,17.74
Soybeans,20446,591.0,37842.0,17.62
Sweet potatoes,168000,591.0,37842.0,17.74
Sweet potatoes,168000,591.0,37842.0,17.62
Wheat,21675,591.0,37842.0,17.74
Wheat,21675,591.0,37842.0,17.62
Cassava,100000,591.0,54595.0,17.64
Cassava,100000,591.0,54595.0,17.97
Maize,40397,591.0,54595.0,17.64
Maize,40397,591.0,54595.0,17.97
Potatoes,228877,591.0,54595.0,17.64
Potatoes,228877,591.0,54595.0,17.97
"Rice, paddy",51031,591.0,54595.0,17.64
"Rice, paddy",51031,591.0,54595.0,17.97
Sorghum,38763,591.0,54595.0,17.64
Sorghum,38763,591.0,54595.0,17.97
Soybeans,21051,591.0,54595.0,17.64
Soybeans,21051,591.0,54595.0,17.97
Sweet potatoes,170000,591.0,54595.0,17.64
Sweet potatoes,170000,591.0,54595.0,17.97
Wheat,19344,591.0,54595.0,17.64
Wheat,19344,591.0,54595.0,17.97
Cassava,100000,591.0,77691.0,18.29
Cassava,100000,591.0,77691.0,18.54
Maize,45557,591.0,77691.0,18.29
Maize,45557,591.0,77691.0,18.54
Potatoes,268502,591.0,77691.0,18.29
Potatoes,268502,591.0,77691.0,18.54
"Rice, paddy",53703,591.0,77691.0,18.29
"Rice, paddy",53703,591.0,77691.0,18.54
Sorghum,36845,591.0,77691.0,18.29
Sorghum,36845,591.0,77691.0,18.54
Soybeans,17212,591.0,77691.0,18.29
Soybeans,17212,591.0,77691.0,18.54
Sweet potatoes,145662,591.0,77691.0,18.29
Sweet potatoes,145662,591.0,77691.0,18.54
Wheat,22426,591.0,77691.0,18.29
Wheat,22426,591.0,77691.0,18.54
Cassava,100000,591.0,62397.0,17.23
Cassava,100000,591.0,62397.0,17.52
Maize,60780,591.0,62397.0,17.23
Maize,60780,591.0,62397.0,17.52
Potatoes,293744,591.0,62397.0,17.23
Potatoes,293744,591.0,62397.0,17.52
"Rice, paddy",47762,591.0,62397.0,17.23
"Rice, paddy",47762,591.0,62397.0,17.52
Sorghum,48105,591.0,62397.0,17.23
Sorghum,48105,591.0,62397.0,17.52
Soybeans,26937,591.0,62397.0,17.23
Soybeans,26937,591.0,62397.0,17.52
Sweet potatoes,175055,591.0,62397.0,17.23
Sweet potatoes,175055,591.0,62397.0,17.52
Wheat,26088,591.0,62397.0,17.23
Wheat,26088,591.0,62397.0,17.52
Cassava,100000,591.0,62831.39,17.15
Cassava,100000,591.0,62831.39,17.71
Maize,53702,591.0,62831.39,17.15
Maize,53702,591.0,62831.39,17.71
Potatoes,238938,591.0,62831.39,17.15
Potatoes,238938,591.0,62831.39,17.71
"Rice, paddy",57337,591.0,62831.39,17.15
"Rice, paddy",57337,591.0,62831.39,17.71
Sorghum,43845,591.0,62831.39,17.15
Sorghum,43845,591.0,62831.39,17.71
Soybeans,24450,591.0,62831.39,17.15
Soybeans,24450,591.0,62831.39,17.71
Sweet potatoes,143991,591.0,62831.39,17.15
Sweet potatoes,143991,591.0,62831.39,17.71
Wheat,23028,591.0,62831.39,17.15
Wheat,23028,591.0,62831.39,17.71
Cassava,100000,591.0,63265.78,16.98
Cassava,100000,591.0,63265.78,17.66
Maize,54329,591.0,63265.78,16.98
Maize,54329,591.0,63265.78,17.66
Potatoes,277566,591.0,63265.78,16.98
Potatoes,277566,591.0,63265.78,17.66
"Rice, paddy",47798,591.0,63265.78,16.98
"Rice, paddy",47798,591.0,63265.78,17.66
Sorghum,46477,591.0,63265.78,16.98
Sorghum,46477,591.0,63265.78,17.66
Soybeans,23312,591.0,63265.78,16.98
Soybeans,23312,591.0,63265.78,17.66
Sweet potatoes,151462,591.0,63265.78,16.98
Sweet potatoes,151462,591.0,63265.78,17.66
Wheat,24873,591.0,63265.78,16.98
Wheat,24873,591.0,63265.78,17.66
Cassava,100000,591.0,63700.17,17.71
Cassava,100000,591.0,63700.17,18.42
Maize,54553,591.0,63700.17,17.71
Maize,54553,591.0,63700.17,18.42
Potatoes,283768,591.0,63700.17,17.71
Potatoes,283768,591.0,63700.17,18.42
"Rice, paddy",57495,591.0,63700.17,17.71
"Rice, paddy",57495,591.0,63700.17,18.42
Sorghum,47429,591.0,63700.17,17.71
Sorghum,47429,591.0,63700.17,18.42
Soybeans,25846,591.0,63700.17,17.71
Soybeans,25846,591.0,63700.17,18.42
Sweet potatoes,155212,591.0,63700.17,17.71
Sweet potatoes,155212,591.0,63700.17,18.42
Wheat,24934,591.0,63700.17,17.71
Wheat,24934,591.0,63700.17,18.42
Cassava,100000,591.0,64134.56,17.58
Cassava,100000,591.0,64134.56,18.07
Maize,60791,591.0,64134.56,17.58
Maize,60791,591.0,64134.56,18.07
Potatoes,251347,591.0,64134.56,17.58
Potatoes,251347,591.0,64134.56,18.07
"Rice, paddy",57197,591.0,64134.56,17.58
"Rice, paddy",57197,591.0,64134.56,18.07
Sorghum,52691,591.0,64134.56,17.58
Sorghum,52691,591.0,64134.56,18.07
Soybeans,26304,591.0,64134.56,17.58
Soybeans,26304,591.0,64134.56,18.07
Sweet potatoes,155890,591.0,64134.56,17.58
Sweet potatoes,155890,591.0,64134.56,18.07
Wheat,22398,591.0,64134.56,17.58
Wheat,22398,591.0,64134.56,18.07
Cassava,100000,591.0,65003.34,17.67
Cassava,100000,591.0,65003.34,18.11
Maize,63931,591.0,65003.34,17.67
Maize,63931,591.0,65003.34,18.11
Potatoes,288717,591.0,65003.34,17.67
Potatoes,288717,591.0,65003.34,18.11
"Rice, paddy",62661,591.0,65003.34,17.67
"Rice, paddy",62661,591.0,65003.34,18.11
Sorghum,45531,591.0,65003.34,17.67
Sorghum,45531,591.0,65003.34,18.11
Soybeans,22075,591.0,65003.34,17.67
Soybeans,22075,591.0,65003.34,18.11
Sweet potatoes,154867,591.0,65003.34,17.67
Sweet potatoes,154867,591.0,65003.34,18.11
Wheat,25441,591.0,65003.34,17.67
Wheat,25441,591.0,65003.34,18.11
Cassava,100000,591.0,65437.73,17.32
Cassava,100000,591.0,65437.73,17.83
Maize,73587,591.0,65437.73,17.32
Maize,73587,591.0,65437.73,17.83
Potatoes,283917,591.0,65437.73,17.32
Potatoes,283917,591.0,65437.73,17.83
"Rice, paddy",60165,591.0,65437.73,17.32
"Rice, paddy",60165,591.0,65437.73,17.83
Sorghum,51872,591.0,65437.73,17.32
Sorghum,51872,591.0,65437.73,17.83
Soybeans,27287,591.0,65437.73,17.32
Soybeans,27287,591.0,65437.73,17.83
Sweet potatoes,154472,591.0,65437.73,17.32
Sweet potatoes,154472,591.0,65437.73,17.83
Wheat,26356,591.0,65437.73,17.32
Wheat,26356,591.0,65437.73,17.83
Cassava,100000,591.0,65872.12,18.1
Cassava,100000,591.0,65872.12,18.35
Maize,59030,591.0,65872.12,18.1
Maize,59030,591.0,65872.12,18.35
Potatoes,285828,591.0,65872.12,18.1
Potatoes,285828,591.0,65872.12,18.35
"Rice, paddy",70610,591.0,65872.12,18.1
"Rice, paddy",70610,591.0,65872.12,18.35
Sorghum,46778,591.0,65872.12,18.1
Sorghum,46778,591.0,65872.12,18.35
Soybeans,26793,591.0,65872.12,18.1
Soybeans,26793,591.0,65872.12,18.35
Sweet potatoes,143478,591.0,65872.12,18.1
